bookId,price,condition,comments,return_date,status,refund_price,status.1
2767052-the-hunger-games,97,Poor,Bad Bad,2024-04-22,,58.2,not available
2.Harry_Potter_and_the_Order_of_the_Phoenix,145,,,,,,
2657.To_Kill_a_Mockingbird,140,Moderate,ertyu,2024-04-19,,84.0,available
1885.Pride_and_Prejudice,60,,,,,,
41865.Twilight,147,Poor,the cover page is wet,2024-04-16,,88.2,available
19063.The_Book_Thief,92,,,,,,
170448.Animal_Farm,88,,,,,,
11127.The_Chronicles_of_Narnia,30,,,,,,
30.J_R_R_Tolkien_4_Book_Boxed_Set,90,,,,,,
18405.Gone_with_the_Wind,134,,,,,,
11870085-the-fault-in-our-stars,30,,,,,,
386162.The_Hitchhiker_s_Guide_to_the_Galaxy,104,,,,,,
370493.The_Giving_Tree,53,,,,,,
6185.Wuthering_Heights,49,,,,,,
968.The_Da_Vinci_Code,135,,,,,,
929.Memoirs_of_a_Geisha,130,,,,,,
5297.The_Picture_of_Dorian_Gray,147,,,,,,
24213.Alice_s_Adventures_in_Wonderland_Through_the_Looking_Glass,112,,,,,,
10210.Jane_Eyre,70,,,,,,
24280.Les_Mis_rables,129,,,,,,
13079982-fahrenheit-451,72,,,,,,
13335037-divergent,40,,,,,,
7624.Lord_of_the_Flies,80,,,,,,
18135.Romeo_and_Juliet,137,,,,,,
18144590-the-alchemist,55,,,,,,
7144.Crime_and_Punishment,78,,,,,,
22628.The_Perks_of_Being_a_Wallflower,47,,,,,,
4671.The_Great_Gatsby,76,,,,,,
256683.City_of_Bones,79,,,,,,
375802.Ender_s_Game,67,,,,,,
4667024-the-help,132,,,,,,
8127.Anne_of_Green_Gables,128,,,,,,
3.Harry_Potter_and_the_Sorcerer_s_Stone,39,,,,,,
157993.The_Little_Prince,116,,,,,,
24178.Charlotte_s_Web,40,,,,,,
890.Of_Mice_and_Men,36,,,,,,
18619684-the-time-traveler-s-wife,133,,,,,,
17245.Dracula,45,,,,,,
5129.Brave_New_World,37,,,,,,
320.One_Hundred_Years_of_Solitude,50,,,,,,
5107.The_Catcher_in_the_Rye,45,,,,,,
21787.The_Princess_Bride,136,,,,,,
28187.The_Lightning_Thief,106,,,,,,
2998.The_Secret_Garden,75,,,,,,
128029.A_Thousand_Splendid_Suns,96,,,,,,
33574273-a-wrinkle-in-time,104,,,,,,
13496.A_Game_of_Thrones,92,,,,,,
2956.The_Adventures_of_Huckleberry_Finn,83,,,,,,
12232938-the-lovely-bones,70,,,,,,
231804.The_Outsiders,88,,,,,,
19543.Where_the_Wild_Things_Are,94,,,,,,
23772.Green_Eggs_and_Ham,126,,,,,,
1381.The_Odyssey,142,,,,,,
4214.Life_of_Pi,122,,,,,,
1953.A_Tale_of_Two_Cities,56,,,,,,
43641.Water_for_Elephants,51,,,,,,
7604.Lolita,131,,,,,,
4981.Slaughterhouse_Five,136,,,,,,
35031085-frankenstein,78,,,,,,
77203.The_Kite_Runner,34,,,,,,
38447.The_Handmaid_s_Tale,97,,,,,,
3636.The_Giver,88,,,,,,
168668.Catch_22,146,,,,,,
44767458-dune,124,,,,,,
5043.The_Pillars_of_the_Earth,93,,,,,,
149267.The_Stand,149,,,,,,
3590.The_Adventures_of_Sherlock_Holmes,61,,,,,,
76620.Watership_Down,101,,,,,,
2623.Great_Expectations,141,,,,,,
1934.Little_Women,140,,,,,,
6514.The_Bell_Jar,132,,,,,,
136251.Harry_Potter_and_the_Deathly_Hallows,120,,,,,,
332613.One_Flew_Over_the_Cuckoo_s_Nest,83,,,,,,
15823480-anna-karenina,137,,,,,,
10964.Outlander,49,,,,,,
10917.My_Sister_s_Keeper,102,,,,,,
39988.Matilda,48,,,,,,
3263607-the-fellowship-of-the-ring,51,,,,,,
2429135.The_Girl_with_the_Dragon_Tattoo,52,,,,,,
17899948-rebecca,88,,,,,,
40961427-1984,97,,,,,,
52892857-the-color-purple,126,,,,,,
14891.A_Tree_Grows_in_Brooklyn,125,,,,,,
41817486-a-clockwork-orange,124,,,,,,
6288.The_Road,109,,,,,,
4934.The_Brothers_Karamazov,119,,,,,,
252577.Angela_s_Ashes,116,,,,,,
345627.Vampire_Academy,142,,,,,,
52036.Siddhartha,137,,,,,,
7244.The_Poisonwood_Bible,102,,,,,,
119322.The_Golden_Compass,57,,,,,,
3836.Don_Quixote,33,,,,,,
662.Atlas_Shrugged,135,,,,,,
5.Harry_Potter_and_the_Prisoner_of_Azkaban,39,,,,,,
2165.The_Old_Man_and_the_Sea,103,,,,,,
33648131-the-notebook,128,,,,,,
99107.Winnie_the_Pooh,94,,,,,,
23919.The_Complete_Stories_and_Poems,117,,,,,,
43763.Interview_with_the_Vampire,108,,,,,,
4473.A_Prayer_for_Owen_Meany,33,,,,,,
153747.Moby_Dick_or_the_Whale,141,,,,,,
4989.The_Red_Tent,36,,,,,,
37435.The_Secret_Life_of_Bees,107,,,,,,
6.Harry_Potter_and_the_Goblet_of_Fire,69,,,,,,
7171637-clockwork-angel,51,,,,,,
1.Harry_Potter_and_the_Half_Blood_Prince,114,,,,,,
16299.And_Then_There_Were_None,59,,,,,,
2187.Middlesex,42,,,,,,
49552.The_Stranger,42,,,,,,
117833.The_Master_and_Margarita,38,,,,,,
186074.The_Name_of_the_Wind,114,,,,,,
11588.The_Shining,123,,,,,,
24583.The_Adventures_of_Tom_Sawyer,93,,,,,,
113436.Eragon,56,,,,,,
6310.Charlie_and_the_Chocolate_Factory,112,,,,,,
36576608-flowers-for-algernon,121,,,,,,
70401.On_the_Road,32,,,,,,
485894.The_Metamorphosis,92,,,,,,
99561.Looking_for_Alaska,59,,,,,,
1232.The_Shadow_of_the_Wind,124,,,,,,
1618.The_Curious_Incident_of_the_Dog_in_the_Night_Time,149,,,,,,
4948.The_Very_Hungry_Caterpillar,42,,,,,,
6900.Tuesdays_with_Morrie,110,,,,,,
9717.The_Unbearable_Lightness_of_Being,134,,,,,,
119073.The_Name_of_the_Rose,95,,,,,,
10365.Where_the_Red_Fern_Grows,100,,,,,,
15881.Harry_Potter_and_the_Chamber_of_Secrets,42,,,,,,
22034.The_Godfather,51,,,,,,
12296.The_Scarlet_Letter,72,,,,,,
168642.In_Cold_Blood,142,,,,,,
36236124-fight-club,73,,,,,,
3431.The_Five_People_You_Meet_in_Heaven,72,,,,,,
6339664-hush-hush,59,,,,,,
233093.The_Cat_in_the_Hat,107,,,,,,
